Source,Company Name,Website Link,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=4&pl_m=40,Rogers Wealth Management Ltd,rogerswealthmanagement.co.uk,I - IFA,No,2-10,1
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=4&pl_m=40,Carlton Financial Solutions,ifsols.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=5&pl_m=40,Samra Wealth Management Ltd,samrawm.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=5&pl_m=40,JD Wealth Management Ltd,jdwealthmanagement.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=5&pl_m=40,Millbank Financial Solutions Limited,millbankfs.co.uk,I - IFA,No,2-10,1
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=5&pl_m=40,Zenith Financial Planning Limited,zenithfinancial.co.uk,I - IFA,No,2-10,3
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=5&pl_m=40,Concept Financial Solutions Limited,conceptfinancialsolutions.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=5&pl_m=40,TBMP Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=5&pl_m=40,Neptune Capital Management Limited,neptunecap.co.uk,I - IFA,No,11-50,3
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=5&pl_m=40,West Bridgford Wealth Management Ltd,westbridgfordwm.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=5&pl_m=40,Hudson Wealth Management Ltd,hudsonwealthmanagement.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=5&pl_m=40,Red IFA (Nottingham) Limited,redifa.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=5&pl_m=40,Montel Investments Limited,montelinvestments.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=5&pl_m=40,MerrixGrogan LLP,merrixgrogan.com,I - IFA,No,11-50,3
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=5&pl_m=40,Steve Cant & Associates Limited,stevecant.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=5&pl_m=40,Simon Musgrave,simonpmusgrave.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=5&pl_m=40,Riverfall Financial Ltd,riverfall-financial.co.uk,I - IFA,No,2-10,5
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=6&pl_m=40,Giles Wealth Planning Ltd,gileswealthplanning.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=6&pl_m=40,Wadsworth Wealth Management Ltd,jwfinancialadvice.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=6&pl_m=40,Ashleyjai Wealth Management Ltd,partnership.sjp.co.uk/partner/ashleyjai,I - IFA,No,"1,001-5,000","3,514"
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=6&pl_m=40,David Ducker Associates Ltd,davidducker.co.uk,I - IFA,No,,1
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=6&pl_m=40,Map Financial Solutions Ltd,mapifa.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=6&pl_m=40,Astra Wealth Limited,,,,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=6&pl_m=40,Fox Heritage Financial Services Limited,foxheritage.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=6&pl_m=40,BlueJay Financial Planning Ltd,bluejayfinancialplanning.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=6&pl_m=40,Kin Lifetime Planning Limited,lpfinancial.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=6&pl_m=40,Charles Dean Limited,charlesdeanuk.com,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=6&pl_m=40,Peter Shirley (Financial Services) Limited,psfswealth.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=6&pl_m=40,London Court Limited,londoncourt.com,-,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=6&pl_m=40,Killimore Financial Management Limited,killimore.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=6&pl_m=40,Chris Churm,,,,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=6&pl_m=40,Martyn Quantick,quantickfinancialservices.com,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=7&pl_m=40,Freer Financial Planning Ltd,freerfinancial.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=7&pl_m=40,David Jones,davidjoneswealthmanagement.co.uk,I - IFA,No,"1,001-5,000","3,514"
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=7&pl_m=40,Abbey House Mortgages Ltd,abbeyhousemortgages.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=7&pl_m=40,David Rickards,rickardsfinancialplanning.com,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=7&pl_m=40,Harron Financial Limited,harronfinancial.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=7&pl_m=40,GILBERT WEALTH LIMITED,gilbertwealth.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=7&pl_m=40,Veritas in Partnership Financial Services Ltd,vipfinancial.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=7&pl_m=40,Gary Smithies Wealth Management Ltd,garysmithies.2plan.com,I - IFA,No,201-500,323
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=7&pl_m=40,Blowfish Financial Services Limited,blowfish-fs.co.uk,I - IFA,No,2-10,9
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=7&pl_m=40,Ink Financial Management Limited,inkfinancial.co.uk,I - IFA,No,2-10,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=7&pl_m=40,BlakeBrooke Financial Advice Limited,blakebrooke.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=7&pl_m=40,James Leighton Financial Services Ltd,jlfs.co.uk,I - IFA,No,51-200,33
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=7&pl_m=40,The Gray Partnership Limited,tgp-ifa.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=7&pl_m=40,Credencis (IFA) Limited,credencis.co.uk,I - IFA,No,2-10,1
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=7&pl_m=40,Invictus IFA Limited,invictusifa.co.uk,I - IFA,No,,1
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=8&pl_m=40,Mr Salvatore Antonino Panzera,ifsb.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=8&pl_m=40,Premier Financial Ltd,premierfinancialltd.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=8&pl_m=40,Mead Financial Planning Ltd,meadfinancial.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=8&pl_m=40,Blue Spire Independent Financial Advice Limited,blue-spire.com,I - IFA,No,2-10,2
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=8&pl_m=40,Beaufort Financial Planning (Nottingham) Ltd,beaufortfinancial.co.uk/nottingham,I - IFA,No,11-50,10
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=8&pl_m=40,Novitas Wealth Management Ltd,novitaswealth.co.uk,I - IFA,No,2-10,1
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=8&pl_m=40,David Major,majorfinancial.fsbusiness.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=8&pl_m=40,Susan Pickering,suepickeringwealth.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=8&pl_m=40,Michael Reed Wealth Management Limited,michaelreedwealthmanagement.co.uk,I - IFA,No,2-10,3
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=8&pl_m=40,Thatcher Financial Planning Limited,nelsonslaw.co.uk,I - IFA,No,201-500,237
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=8&pl_m=40,Ravenshead Independent Financial Services Limited,ravensheadifs.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=8&pl_m=40,Strata Financial Resourcing Ltd,stratafinancial.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=8&pl_m=40,Medical Wealthcare Planning Limited,medicalwealthcare.co.uk,I - IFA,No,2-10,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=8&pl_m=40,Cedars Wealth Management Ltd,cedarswm.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=8&pl_m=40,Nedtown Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=9&pl_m=40,Mark Bull,derbyshirefinancialplanning.co.uk,I - IFA,No,"1,001-5,000","3,514"
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=9&pl_m=40,The Tavistock Partnership Limited,tavistockinvestments.com,I - IFA,No,11-50,40
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=9&pl_m=40,Tavistock Partners Limited,tavistockpartners.com,I - IFA,No,,19
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=9&pl_m=40,Individual Savings Accounts Ltd,isa-ltd.co.uk,I - IFA,No,,25
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=9&pl_m=40,Expatriate Advisory Services Plc,isa-ltd.co.uk,I - IFA,No,,25
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=9&pl_m=40,The PEP Shop Limited,sabio.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=9&pl_m=40,80 Twenty Consultancy Limited,80twentygroup.co.uk,I - IFA,No,,3
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=9&pl_m=40,Merlin Wealth Management Ltd,merlinwealthmanagement.co.uk,I - IFA,No,2-10,3
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=9&pl_m=40,Lockington Financial Ltd,lockingtonfinancial.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=9&pl_m=40,Mark Fraser,sjpp.co.uk/markfraser,I - DFM without Centralised Research; I - IFA,No,"1,001-5,000","3,514"
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=9&pl_m=40,Sense Financial Solutions Limited,itmakessense.net,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=9&pl_m=40,Stephen McEwan,stevemcewanwm.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=9&pl_m=40,HFB Financial Planning Ltd,hfbfinancial.co.uk,I - IFA,No,2-10,3
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=9&pl_m=40,BEST Wealth Management Ltd,nscfp.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=9&pl_m=40,Cox Financial Services Ltd,coxfs.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=10&pl_m=40,Christopher Dorkes,chrisdorkes.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=10&pl_m=40,Malcolm Aplin,,,,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=10&pl_m=40,Foxbridge Independent Financial Solutions Limited,foxbridgeifs.co.uk,I - IFA,No,2-10,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=10&pl_m=40,Wayne Steven Financial Solutions Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=10&pl_m=40,Santorini Financial Planning Limited,santorinifinancialplanning.co.uk,I - IFA,No,1,1
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=10&pl_m=40,Clark Wealth Management Ltd,clarkwm.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=10&pl_m=40,Hallam Wealth Limited,hallamwealth.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=10&pl_m=40,Learmonth Wealth Management Ltd,learmonthwealthmanagement.com,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=10&pl_m=40,Claritas Financial Planning Ltd,clarityifa.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=10&pl_m=40,Paul Richmond,partnership.sjp.co.uk/partner/paulrichmondwm,I - IFA,No,"1,001-5,000","3,514"
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=10&pl_m=40,JM Financial Consultancy Limited,jmfinancialconsultancy.com,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=10&pl_m=40,Xchange Mortgages Limited,xchange-mortgages.co.uk,I - IFA,No,2-10,1
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=10&pl_m=40,Manor Bridge,,,,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=10&pl_m=40,Chamberlyns(Leicestershire)Ltd,chamberlyns.co.uk,I - IFA,No,,3
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=10&pl_m=40,Cooper Parry Wealth Limited,cooperparrywealth.com,I - IFA,No,11-50,53
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=11&pl_m=40,HC James Wealth Management Ltd,partnership.sjp.co.uk/partner/hcjames,I - IFA,No,"1,001-5,000","3,514"
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=11&pl_m=40,Sue Farr,farrfinancialplanning.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=11&pl_m=40,Right Financial Management Ltd,rightwealthmanagement.com,I - IFA,No,2-10,3
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=11&pl_m=40,Maple Financial Solutions Ltd,maple.uk.com,I - IFA,No,11-50,28
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=11&pl_m=40,Park View Financial Services Limited,parkviewfs.com,I - IFA,No,2-10,3
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=11&pl_m=40,Mountfield Financial Services Ltd,mintzone.com,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=11&pl_m=40,Create FM Ltd,createfm.co.uk,I - IFA,No,,2
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=11&pl_m=40,Investment & Retirement Solutions Ltd,investretire.co.uk,I - IFA,No,2-10,4
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=11&pl_m=40,Hall-Ward IFA Ltd,hallwardifa.co.uk,I - IFA,No,2-10,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=11&pl_m=40,Veritas Wealth & Financial Solutions Ltd,veritaswealth.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=11&pl_m=40,Rex Wealth Management Limited,rexwealth.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=11&pl_m=40,Woodwards of Ripley Ltd,woodwardsfs.co.uk,I - IFA,No,,1
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=11&pl_m=40,M D Slack Wealth Management Ltd,mdslackwealthmanagement.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=11&pl_m=40,Adcock Financial Limited,adcockfinancial.co.uk,I - IFA,No,2-10,1
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=11&pl_m=40,Face To Face Financial Solutions Limited,facetofacefinancial.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=12&pl_m=40,Hampshire Hill Group Limited,hampshirehill.co.uk,,,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=12&pl_m=40,Face to Face Financial Planning Limited,facetoface.uk.com,,,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=12&pl_m=40,Honeycroft Wealth Management Limited,honeycroftwm.co.uk/,,,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=12&pl_m=40,Friar Gate Independent Financial Services Ltd,friargate.net,,,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=12&pl_m=40,Oakwood Capital Wealth Management Limited,oakwood-capital.co.uk,,,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=12&pl_m=40,Cambourne Financial Planning Limited,cambournefp.co.uk,,,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=12&pl_m=40,Andrew Dasilva,andrewdasilva.co.uk,,,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=12&pl_m=40,AJB Wealth Management Limited,partnership.sjp.co.uk/partner/ajbwealth,,,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=12&pl_m=40,Equity 55 (Financial Solutions) Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=12&pl_m=40,Perrett & Co. Financial Services Limited,perrettandco.com,,,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=12&pl_m=40,Chesterton House Financial Planning Ltd,chestertonhouse.co.uk,,,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=12&pl_m=40,Portland Square Independent Financial Advice Ltd,portlandsquareifa.co.uk,,,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=12&pl_m=40,CWM Wealth Management Limited,collinswm.co.uk,,,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=12&pl_m=40,Cowens Employee Benefits Ltd,cowensgroup.co.uk/business/employee-benefits,,,,
